title,date,venue,price,organizer,description,image_url,concert_link,location,event_type
Racing + Ministry of Sound Classical,6/20/2025 13:50,Newmarket Racecourses,See Website for more details,Ministry of Sound Classical,"Racecourse terms and conditions apply: Children aged 5-17 must be in possesion of a child ticket, available from the racecourse website. Under 18's must be accompanied by an adult per every two children. We take every precaution to try and ensure everyone has a safe and enjoyable time at all of our events. If you do decide to bring a child under 16, we would suggest against taking them into the most densely crowded areas, which includes the large area in front of the stage.",https://s1.ticketm.net/dam/a/602/8c949572-dad6-452e-8831-d5f9e812e602_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.co.uk/racing-ministry-of-sound-classical-newmarket-20-06-2025/event/37006185FC212FA4,"Newmarket, Great Britain",Classical - Classical/Vocal
Electro Symphony,6/20/2025 18:00,Laurenskerk,See Website for more details,Electro Symphony,See Website for more details,https://s1.ticketm.net/dam/a/fca/0e75bee1-171a-4d4c-a9b0-cf12c833afca_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.nl/event/electro-symphony-tickets/1744743413?language=en-us,"Rotterdam, Netherlands",Classical - Classical/Vocal
Star Wars: A New Hope In Concert with The Philadelphia Orchestra,6/21/2025 0:00,TD Pavilion at the Mann,See Website for more details,The Philadelphia Orchestra,**THIS IS A RAIN OR SHINE EVENT**,https://s1.ticketm.net/dam/a/b32/ef3dbc12-1bc9-4fa4-b4df-9735e6d06b32_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/star-wars-a-new-hope-in-philadelphia-pennsylvania-06-20-2025/event/02006246CC0055FF,"Philadelphia, United States Of America",Classical - Symphonic
Detroit Symphony Orchestra,6/21/2025 0:00,Max M. Fisher Music Center,See Website for more details,Detroit Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/8ec/7dcb3504-bcf9-448a-9f73-b26628e898ec_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7GYJK,"Detroit, United States Of America",Classical - Classical/Vocal
HAUSER: The Rebel Is Back,6/21/2025 0:00,MGM Music Hall at Fenway,See Website for more details,HAUSER,"Door Time: 7:00pm Show Time: 8:00pm All Ages *All support acts are subject to change without notice.* Bags must not exceed a maximum size of 12""x6""x12"". All bags, regardless of size, are subject to search by security. Lighters are not allowed in the venue and there is absolutely NO SMOKING OR VAPING allowed per the city of Boston Ordinances. Any smoking or vaping will result in IMMEDIATE EJECTION from the event. Any medication must be accompanied with proof of prescription. This list of prohibited items is subject to change at the discretion of venue management.",https://s1.ticketm.net/dam/a/e1c/cfc88d38-f24c-46e5-8d87-6f82e496fe1c_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/hauser-the-rebel-is-back-boston-massachusetts-06-20-2025/event/01006148C50727F1,"Boston, United States Of America",Classical - Classical/Vocal
Muti Conducts Verdi Requiem,6/21/2025 0:30,Symphony Center-IL,See Website for more details,Chicago Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fKpk,"Chicago, United States Of America",Classical - Classical/Vocal
"Orquesta Sin Nacional Ecos de viaje, 8+. Ingreso 19:30 h.",6/21/2025 2:00,Palacio de Bellas Artes,See Website for more details,Orquesta Sinfónica Nacional,"Orquesta Sinfónica Nacional Ecos de viaje Iniciada la función el ingreso del publico demorado esta sujeto al programa: Ludwig Carrasco, director arti?stico Patricio Cosentino, tuba Jacobo Kostakowsky (1893-1953), Sinfonietta tropical * Roberto Pintos (1965), Concierto para tuba y orquesta ** Ignacio Freijo (1978), Andina para tuba y orquesta ** [encore] Astor Piazzolla (1921-1992), Libertango [arr. Jorge Tagliapietra] Mieczys?aw Weinberg (1919-1996), Sinfoni?a nu?m. 3 en Si menor ** * re-estreno en tiempos modernos ** estreno en Me?xico",https://s1.ticketm.net/dam/a/896/a6ae0bd5-7249-4228-8bce-d8169d484896_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/orquesta-sinfonica-nacional-ecos-de-viaje-mexico-cdmx-20-06-2025/event/3D00622DA00B1AD4,"México CDMX, Mexico",Classical - Symphonic
"OPEN: Faun, Songs & Symphony 4—Debussy, Sibelius & Mahler with Pierard",6/21/2025 7:00,The Opera House Wellington,See Website for more details,See Website for more details,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: This even is All ages. All patrons must hold a vaild ticket regardless of age. Please note: There is no elevator in the Opera House and access to the Dress Circle and Gallery are via stairs. The Gallery may be unsuitable for patrons with accessibility requirements or experience vertigo. For further information, please contact us on 04 916 1205. OPEN comprises conductor James Judd, violinist Vesa Matti Leppänen and their musical accomplices, who tonight invite soprano Madeline Pierard into a musical conspiracy that will showcase music by Debussy, Sibelius and Mahler's 4th Symphony as you've never experienced it.",https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.co.nz/open-faun-songs-symphony-4debussy-sibelius-wellington-21-06-2025/event/240062AE90011606,"Wellington, New Zealand",Classical - Classical/Vocal
John Wilson and Sinfonia of London,6/21/2025 18:30,Royal Concert Hall Nottingham,See Website for more details,John Wilson and His Sinfonia Of London,RODGERS & HAMMERSTEIN'S GREATEST HITS Plus Special Guest Soloists NATHANIEL HACKMANN & SCARLET STRALLEN,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.co.uk/john-wilson-and-sinfonia-of-london-nottingham-21-06-2025/event/1F006139944B11AA,"Nottingham, Great Britain",Classical - Classical/Vocal
The Music of The Lord of The Rings. Tribute to Howard Shore,6/21/2025 18:30,Kensington United Reformed Church,See Website for more details,The Music of The Lord of The Rings. Tribute to Howard Shore,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RECOMENDATION_16_9.jpg,https://www.universe.com/events/the-music-of-the-lord-of-the-rings-tribute-to-howard-shore-tickets-KV51WY?ref=ticketmaster,"London, Great Britain",Classical - Classical/Vocal
The Princess Bride In Concert,6/21/2025 19:00,Schermerhorn Symphony Center,See Website for more details,Nashville Symphony,See Website for more details,https://s1.ticketm.net/dam/a/b8a/f931cbe7-9364-42f4-a0dc-3b8905507b8a_SOURCE,https://www.ticketmaster.com/event/Z7r9jZ1A78UGp,"Nashville, United States Of America",Classical - Other
San Francisco Gay Men's Chorus,6/21/2025 20:00,Curran Theatre,See Website for more details,San Francisco Gay Men's Chorus,See Website for more details,https://s1.ticketm.net/dam/a/b0c/88bc0eee-7697-40d5-9c36-d0f32464ab0c_448911_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74SPN,"San Francisco, United States Of America",Classical - Classical/Vocal
